SNo,Master,Short,Stock Management Unit,AlternateSMU,Status,Node,Master Group,Master Node1,Category1,Category2,Category3,Cost1,Cost2,Cost3
348,SMILE PUMP MOTOR,,Nos,,Active,SKY PUMP MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,SKY PUMP MOTORS,120,120,120
349,STICKERS,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
350,SWITCH ELCOM FAN 123,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
351,SWITCH ELCOM FUNCTION(P/S/PS),,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
352,SWITCH SGI 3 POLE,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
353,SWITCH SGI 4 POLE,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
354,VERTICAL BRACKET,ALTERNATION SWING BLADE,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
355,VIBRANT FAN BLADE,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
356,VIBRANT HONEYCOMB,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
357,WHEELS CVCRM,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
358,WHEELS SKYZEN,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
359,WOOD WOOL HEAVY (SMART),,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
360,Mini Cute Trolley,Trolley Mini Cute,Kgs,,Active,SKY COOLER TROLLY,Products,All Products,SKYZEN PRODUCTS,SKY COOLER TROLLY,,120,120,120
361,Smile Trolly,,Kgs,,Active,SKY COOLER TROLLY,Products,All Products,SKYZEN PRODUCTS,SKY COOLER TROLLY,,120,120,120
362,VIBRANT KIT,,Nos,,Active,SKY COOLER TROLLY,Products,All Products,SKYZEN PRODUCTS,SKY COOLER TROLLY,,120,120,120
363,COOLPLUS,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
364,Cvcrm Hippo Chill 4500,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
365,CVCRM MINI CUTE,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
366,Cvcrm Vibrant 16ALH,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
367,DEFECTIVE PRODUCT,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
368,FRES SMILE,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
369,OPPO MINICUTE,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
370,OPPO MNICUTE,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
371,SKY Hippo Chill 4500,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
372,SKY Hippo Chill 4500(with stand),Hippo Chill 4500,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,120,120,120
373,SKY INDUSTRIAL COOLER 30 INCH,INDUSTRIAL COOLER 30 INCH,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
374,SKY MINI CUTE,MINI CUTE,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
375,SKY MINI CUTE REMOTE,MINI CUTE REMOTE,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
376,SKY PEARL,PEARL COOLER,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
377,SKY SMART 16PL R H.INV.LCD.USB,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
378,SKY Smart Cool 18AL,Smart Cool 18AL,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
379,SKY Smart Cool 18ALH,Smart Cool 18ALH,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
380,SKY Smart Cool 18ALH BROWN,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
381,SKY Smart Cool 18ALR,Smart Cool 18ALR,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
382,SKY Smart Cool 18ALR LCD+USB,Smart Cool 18ALR LCD+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
383,SKY Smart Cool 18ALR LCD-H,Smart Cool 18ALR LCD-H,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
384,SKY Smart Cool 18ALR LCD-H +USB,Smart Cool 18ALR LCD-H +USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
385,SKY Smart Cool 18ALR+USB,Smart Cool 18ALR+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
386,SKY Smart Cool 18ALR-BT+USB,Smart Cool 18ALR-BT+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
387,SKY Smart Cool 18ALR-H,Smart Cool 18ALR-H,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
388,SKY Smart Cool 18ALR-H+USB,Smart Cool 18ALR-H+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
389,SKY Smart Cool 18ALR-H-BT+USB,Smart Cool 18ALR-H-BT+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
390,SKY Smart Cool 18ALR-H-BT+USB LCD,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
391,SKY Smart Cool INV-R+USB,Smart Cool INV-R+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
392,SKY Smart Cool INV-R+USB LCD,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
393,SKY Smart Cool INV-R-H+USB,Smart Cool INV-R-H+USB,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
394,SKY Smart Cool INV-R-H+USB LCD,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
395,SKY Smile Blower,Smile Blower,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
396,SKY Smile Blower(stand),,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
397,SKY Super 5000,Super 5000,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
398,SKY Super Cool 16AL,Super Cool 16AL,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
399,SKY Super Cool 16ALH,Super Cool 16ALH,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
400,SKY SUPER COOL 16PL,SUPER COOL 16PL,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
401,SKY Super Silent 6300,super Silent 6300,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,150,150,150
402,SKY super Silent 6300 H,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
403,SKY super Silent 6300 R,super Silent 6300 R,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
404,SKY super Silent 6300 RH,super Silent 6300 RH,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
405,SKY Thunder Cool 18AL,Thunder Cool 18AL,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
406,SKY Thunder Cool 18AL (L),THUNDER COOL 18AL ( L),Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
407,SKY Thunder Cool 18ALH,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
408,SKY TRENDY,TRENDY COOLER,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
409,SKY Vibrant 16PL -R H,,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
410,SKY Vibrant 18AL /HPL,Vibrant 18AL /HPL,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
411,SKY Vibrant 18AL/HPL -H,Vibrant 18AL/HPL -H,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
412,SKY Vibrant 18AL/HPL -R,Vibrant 18AL/HPL -R,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
413,SKY Vibrant 18AL/HPL -R H,Vibrant 18AL/HPL -R H,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
414,SKY VIBRANT 5000,VIBRANT 5000,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
415,SKY VIBRANT 5000 HC,VIBRANT 5000 HC,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
416,SKY VIBRANT 5000HCR,VIBRANT 5000HCR,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
417,SKY VIBRANT 5000R,VIBRANT 5000R,Nos,,Active,SKY COOLERS,Products,All Products,SKYZEN PRODUCTS,SKY COOLERS,,180,180,180
418,3 Way Plastic Tee,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
419,Plastic Tap Connector - ASH N66,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
420,Plastic Tap Connector Taper-ASH N66,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
421,SILICON ELBOW HOT,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
422,Silicon Pipe 142 mm (10x13) (40-2),,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
423,Silicon Pipe Hot Tank Inlet U-88MM(9x12),,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
424,Silicon Pipe Hot Water Outlet-80mm(11x16),,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
425,Silicon Steam Pipe-320mm(6x9),,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
426,SKY 3WAY PLASTIC TEE NEW,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
427,SKY CAFE PLUS,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
428,SKY COLD WATER OUTLET,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
429,SKY COMPRESSOR QD/TVC 30 LW,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
430,SKY COMPRESSOR QD/TVC36 LW,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
431,SKY Drain Set Regular,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,180,180,180
432,SKY FRONT LOWER FS FOR MODEL 24-28,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
433,SKY FRONT UPPER MODEL 26,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
434,SKY Funnel Blue Regular,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
435,SKY Glass Fuse 15 Amp,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
436,SKY Glass Fuse Holder,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
437,SKY HEATING BUTTON 85NO 10AMP,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
438,SKY HEATING BUTTON 97 10AMP,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
439,SKY HOT WATER OUTLET,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
440,SKY Overload (30 No),,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
441,SKY Punching tube With Slot Blue,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
442,SKY Relay 30 no,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
443,SKY SILICON ELBOW COLD,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
444,SKY SILICON PIPE 6*10.5,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
445,SKY SILICON PIPE 74MM,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
446,SKY SILICON PIPE HOT TANK INTEL U-88MM,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
447,SKY Thermostat Cold Refrigerator,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
448,SKY Thermostat Cold Regular,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
449,SKY TOP COVER MODEL 24,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
450,SKY Trasparent Display  M 28,,Nos,,Active,SKY DISPENSER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
451,Tap White M 26,,Nos,,Active,SKY DISPENSER SPARES,Products,All Products,SERVICING SPARES,SKY DISPENSER SPARES,,210,210,210
452,CC 082 TRENDY MOTOR,,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
453,CC 083 H CUTE MOTOR,MOTOR 083 H CUTE,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
454,CC 098 H CUTE MOTOR,MOTOR 098H CUTE,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
455,CC 198 H CUTE MOTOR,MOTOR 198H CUTE,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
456,CD 020 FAN MOTOR FORWARD,MOTOR 020,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
457,CD 021 H ANTI CLOCK MOTOR,MOTOR 021 ANTI,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
458,CD 031H SUPER,MOTOR 031 SUPER,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,210,210,210
459,CD 036H HIPPO MOTOR,MOTOR 036 HIPPO,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
460,CD 039H SMART/THUNDER/VIBRANT,MOTOR 039H SMART/THUNDER/VIBRANT,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
461,CD 070H MOTOR,,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
462,CD 120 COMMON MOTOR,MOTOR CD 120 COMMON,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
463,CONDOR FAN MOTOR,MOTOR CONDOR,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
464,CROMTON MOTOR,,Nos,,Active,SKY FAN MOTORS,Products,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
465,CS 002 H BLOWER,MOTOR CS002 BLOWER,Nos,,Active,SKY FAN MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY FAN MOTORS,,250,250,250
466,SKYZEN LED A32,SZ A32,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
467,SKYZEN LED A40,SZ A40,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
468,SKYZEN LED A65S,SZ A65,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
469,SKYZEN LED H3205,SZ H3205,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
470,SKYZEN LED H3214N,SZ H3214N,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
471,SKYZEN LED H3214S,SZ H3214S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
472,SKYZEN LED H3218N,SZ H3218N,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
473,SKYZEN LED M24D,SZ M24D,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
474,SKYZEN LED M32,SZ M32,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
475,SKYZEN LED M32G,SZ M32G,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
476,SKYZEN LED M32M,SZ M32M,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
477,SKYZEN LED M32MS,SZ M32MS,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
478,SKYZEN LED M32S,SZ M32S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
479,SKYZEN LED M32SB(Sound Bar),SZ M32SB,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
480,SKYZEN LED M40,SZ M40,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
481,SKYZEN LED M40S,SZ M40S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
482,SKYZEN LED M42,SZ M42,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
483,SKYZEN LED M42S,SZ M42S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
484,SKYZEN LED M42S S,,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
485,SKYZEN LED M43S,SZ M43S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,250,250,250
486,SKYZEN LED M50,SZ M50,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
487,SKYZEN LED M50 4k,SZ M50 4k,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
488,SKYZEN LED M50S(V51S),SZ M50S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
489,SKYZEN LED M55 4k,SZ M55 4k,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
490,SKYZEN LED M55S,SZ M55S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
491,SKYZEN LED M65S,SZ M65S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
492,SKYZEN LED V IMAC32S/32S,SZ VIMAC32S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
493,SKYZEN LED V24D,SZ V24D,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
494,SKYZEN LED V24E,SZ V24E,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
495,SKYZEN LED V32,SZ V32,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
496,SKYZEN LED V40,SZ V40,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
497,SKYZEN LED V40BT,SZ V40BT,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
498,SKYZEN LED V51,SZ V51,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
499,SKYZEN LED V51S,SZ V51S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
500,SKYZEN LED V55,SZ V55,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
501,SKYZEN LED V60,SZ V60,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
502,SKYZEN LED VINTEL40S,SZ VINTEL40S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
503,SKYZEN LED VIVO32S,SZ VVIVO32S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
504,SKYZEN LED VIVO40S,SZ V40S,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
505,SKYZEN LED VQ32,SZ VQ32,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
506,SKYZEN LED VR32,SZ VR32,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
507,SKYZEN LED W24N,SZ W24N,Nos,,Active,SKY LED,Products,All Products,SKYZEN PRODUCTS,SKY LED,,300,300,300
508,LED REMOTE CONTROL,,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
509,SKY 24 Bar Light (M),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
510,SKY 32 Bar Light (M),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
511,SKY 40 Bar Light (M),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
512,SKY INTEL 40 COMBO BOARD (V),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
513,SKY LED REMOTE CONTROL  Normal Smart Remote (V),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
514,SKY Remote Control for LED/CTV Normal (M),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
515,SKY Remote Control for LED/CTV Smart (M),,Nos,,Active,SKY LED SPARES,Products,All Products,SERVICING SPARES,SKY LED SPARES,,300,300,300
516,10MMD MACHINE,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,300,300,300
517,14*0060 FLEXIBLE WIRE COIL,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
518,30Inch Cooler Body,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
519,4023 PP FOX FAST AID 1LETTER,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
520,50MM LOCK,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
521,6MMX10MM4MMX600MM,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
522,6MMX10MMX4MMX450MM,,Nos,,Active,SKY RAW MATERIALS,Products,All Products,SERVICING SPARES,SKY RAW MATERIALS,,450,450,450
